ts_client,phase,type,thread_id,query_name,latency_ms,freshness_ms,extra
1768291120164,monitor,OLAP_FRESHNESS,-1,MONITOR_QUERY,0,1768291120147,
1768291120212,htap,OLAP_QUERY,4,MAIN_OLAP,21,1768291120148,
1768291120212,htap,OLAP_QUERY,1,MAIN_OLAP,35,1768291120148,
1768291120255,htap,OLAP_QUERY,3,MAIN_OLAP,43,1768291120148,
1768291120263,htap,OLAP_QUERY,0,MAIN_OLAP,75,1768291120148,
1768291120265,htap,OLAP_QUERY,2,MAIN_OLAP,67,1768291120148,
1768291120416,htap,OLTP_BATCH,5,BATCH,213,,statements=1002
1768291120417,htap,OLTP_BATCH,2,BATCH,213,,statements=1002
1768291120418,htap,OLTP_BATCH,0,BATCH,214,,statements=1002
1768291120441,htap,OLTP_BATCH,9,BATCH,239,,statements=1002
1768291120446,htap,OLTP_BATCH,3,BATCH,244,,statements=1002
1768291120452,htap,OLTP_BATCH,1,BATCH,248,,statements=1002
1768291120489,htap,OLTP_BATCH,7,BATCH,288,,statements=1002
1768291120493,htap,OLTP_BATCH,8,BATCH,291,,statements=1002
1768291120511,htap,OLTP_BATCH,4,BATCH,309,,statements=1002
1768291120520,htap,OLTP_BATCH,6,BATCH,319,,statements=1002
1768291120539,htap,OLTP_BATCH,0,BATCH,95,,statements=1002
1768291120551,htap,OLTP_BATCH,1,BATCH,95,,statements=1002
1768291120562,htap,OLTP_BATCH,2,BATCH,120,,statements=1002
1768291120582,htap,OLTP_BATCH,3,BATCH,132,,statements=1002
1768291120599,htap,OLTP_BATCH,5,BATCH,158,,statements=1002
1768291120606,htap,OLTP_BATCH,9,BATCH,160,,statements=1002
1768291120664,htap,OLTP_BATCH,4,BATCH,149,,statements=1002
1768291120676,htap,OLTP_BATCH,1,BATCH,122,,statements=1002
1768291120689,htap,OLTP_BATCH,8,BATCH,182,,statements=1002
1768291120691,htap,OLTP_BATCH,7,BATCH,199,,statements=1002
1768291120696,htap,OLTP_BATCH,0,BATCH,150,,statements=1002
1768291120727,htap,OLTP_BATCH,2,BATCH,162,,statements=1002
1768291120735,htap,OLTP_BATCH,6,BATCH,209,,statements=1002
1768291120769,htap,OLTP_BATCH,3,BATCH,184,,statements=1002
1768291120778,htap,OLTP_BATCH,0,BATCH,79,,statements=1002
1768291120802,htap,OLAP_QUERY,4,MAIN_OLAP,36,361,
1768291120809,htap,OLTP_BATCH,5,BATCH,205,,statements=1002
1768291120827,htap,OLAP_QUERY,3,MAIN_OLAP,39,405,
1768291120845,htap,OLAP_QUERY,1,MAIN_OLAP,63,361,
1768291120851,htap,OLTP_BATCH,4,BATCH,183,,statements=1002
1768291120857,htap,OLTP_BATCH,9,BATCH,247,,statements=1002
1768291120876,htap,OLTP_BATCH,1,BATCH,182,,statements=1002
1768291120879,htap,OLAP_QUERY,2,MAIN_OLAP,55,423,
1768291120880,htap,OLAP_QUERY,0,MAIN_OLAP,38,409,
1768291120922,htap,OLTP_BATCH,0,BATCH,125,,statements=1002
1768291120926,htap,OLTP_BATCH,2,BATCH,196,,statements=1002
1768291120982,htap,OLTP_BATCH,6,BATCH,244,,statements=1002
1768291120988,htap,OLTP_BATCH,7,BATCH,292,,statements=1002
1768291121015,htap,OLTP_BATCH,8,BATCH,321,,statements=1002
1768291121030,htap,OLTP_BATCH,1,BATCH,151,,statements=1002
1768291121053,htap,OLTP_BATCH,0,BATCH,128,,statements=1002
1768291121065,htap,OLTP_BATCH,5,BATCH,253,,statements=1002
1768291121065,htap,OLTP_BATCH,3,BATCH,292,,statements=1002
1768291121080,htap,OLTP_BATCH,4,BATCH,223,,statements=1002
1768291121101,htap,OLTP_BATCH,2,BATCH,172,,statements=1002
1768291121174,monitor,OLAP_FRESHNESS,-1,MONITOR_QUERY,0,811,
1768291121180,htap,OLTP_BATCH,0,BATCH,124,,statements=1002
1768291121186,htap,OLTP_BATCH,9,BATCH,324,,statements=1002
1768291121196,htap,OLTP_BATCH,1,BATCH,163,,statements=1002
1768291121262,htap,OLTP_BATCH,7,BATCH,271,,statements=1002
1768291121267,htap,OLTP_BATCH,6,BATCH,282,,statements=1002
1768291121285,htap,OLTP_BATCH,2,BATCH,181,,statements=1002
1768291121289,htap,OLTP_BATCH,3,BATCH,222,,statements=1002
1768291121325,htap,OLTP_BATCH,0,BATCH,143,,statements=1002
1768291121332,htap,OLAP_QUERY,4,MAIN_OLAP,11,957,
1768291121339,htap,OLTP_BATCH,4,BATCH,256,,statements=1002
1768291121347,htap,OLTP_BATCH,1,BATCH,148,,statements=1002
1768291121360,htap,OLTP_BATCH,8,BATCH,342,,statements=1002
1768291121367,htap,OLAP_QUERY,3,MAIN_OLAP,17,973,
1768291121379,htap,OLAP_QUERY,1,MAIN_OLAP,20,991,
1768291121417,htap,OLAP_QUERY,2,MAIN_OLAP,25,1025,
1768291121424,htap,OLAP_QUERY,0,MAIN_OLAP,35,1027,
1768291121444,htap,OLTP_BATCH,5,BATCH,377,,statements=1002
1768291121472,htap,OLTP_BATCH,0,BATCH,145,,statements=1002
1768291121499,htap,OLTP_BATCH,3,BATCH,208,,statements=1002
1768291121518,htap,OLTP_BATCH,2,BATCH,231,,statements=1002
1768291121544,htap,OLTP_BATCH,9,BATCH,355,,statements=1002
1768291121562,htap,OLTP_BATCH,1,BATCH,212,,statements=1002
1768291121612,htap,OLTP_BATCH,6,BATCH,343,,statements=1002
1768291121626,htap,OLTP_BATCH,7,BATCH,361,,statements=1002
1768291121642,htap,OLTP_BATCH,4,BATCH,301,,statements=1002
1768291121649,htap,OLTP_BATCH,0,BATCH,174,,statements=1002
